Data;Moeda;Quantidade;Origem;Destino;Hora Saída;Hora Entrada
2021-08-04;USDC;10000.0;Nexo;Binance;14:34:20;14:39:12
2022-01-12;ADA;5000.0;Nexo;Binance;12:08:33;12:26:36
2022-02-18;USDT;20100.0;Nexo;Binance;07:50:32;07:55:04
2022-03-08;USDT;30333.575491;Nexo;Binance;17:26:42;17:33:04
2022-05-11;USDT;1558.56878;Nexo;Binance;12:02:41;12:07:04
2022-06-11;USDC;27500.0;Nexo;Binance;08:25:27;08:32:32
2022-06-27;NEXO;9954.0;Nexo;Binance;08:16:20;08:20:42
2022-07-06;BTC;1.00000925;Nexo;Binance;08:55:39;09:22:42
2023-03-11;ADA;18447.000915;Nexo;Binance;15:06:16;15:16:32
2023-05-05;BTC;0.10917083;Nexo;Binance;09:24:38;10:15:06
2023-06-26;BTC;0.0944;Nexo;Binance;18:43:27;18:58:08
2023-07-15;BTC;0.03226631;Nexo;Binance;11:39:56;12:12:08
2023-07-19;BTC;0.5;Nexo;Binance;10:45:46;11:32:08
2023-12-20;USDT;1239.319899;Nexo;Binance;10:11:57;10:14:36
2025-04-01;USDT;8700.0;Nexo;Binance;19:38:06;19:39:12
2025-04-06;AVAX;250.297;Nexo;Binance;12:46:11;12:47:32
2018-12-03;BTC;0.46564768;BitcoinTrade;Binance;18:03:48;20:47:12
2018-12-26;BTC;0.45253251;BitcoinTrade;Binance;12:59:14;15:39:52
2019-01-02;BTC;0.13100769;BitcoinTrade;Binance;19:47:42;22:18:14
2019-01-18;BTC;0.05370705;BitcoinTrade;Binance;20:22:19;22:35:00
2019-01-19;BTC;0.05292755;BitcoinTrade;Binance;17:14:44;19:39:30
2019-02-19;BTC;0.30208312;BitcoinTrade;Binance;12:09:12;15:45:36
2019-03-08;ETH;6.1997858;BitcoinTrade;Binance;15:30:09;18:40:00
2019-03-19;BTC;0.26483717;BitcoinTrade;Binance;15:31:14;18:47:34
2019-03-29;BTC;0.25685733;BitcoinTrade;Binance;17:06:18;20:28:24
2019-04-10;BTC;0.24988889;BitcoinTrade;Binance;17:01:14;20:17:16
2019-04-26;BTC;0.11211175;BitcoinTrade;Binance;00:33:20;03:49:52
2019-05-15;BTC;0.17130544;BitcoinTrade;Binance;09:46:39;13:10:36
2019-05-24;BTC;0.15288026;BitcoinTrade;Binance;10:09:19;13:17:22
2019-06-27;BTC;0.02132719;BitcoinTrade;Binance;12:53:15;16:03:44
2019-06-28;BTC;0.04317662;BitcoinTrade;Binance;09:37:39;12:44:40
2019-07-09;BTC;0.04208573;BitcoinTrade;Binance;17:31:16;21:03:18
2019-07-28;BTC;0.07919766;BitcoinTrade;Binance;20:43:52;23:49:32
2019-11-16;XRP;2570.406666;BitcoinTrade;Binance;17:16:13;20:18:32
2020-01-07;ETH;0.19104263;BitcoinTrade;Binance;16:11:41;19:22:32
2020-01-29;ETH;2.06100847;BitcoinTrade;Binance;10:21:22;13:26:36
2020-05-22;BTC;0.09474552;BitcoinTrade;Binance;09:48:13;12:55:12
2020-06-27;BTC;0.10173726;BitcoinTrade;Binance;17:03:11;20:11:04
2020-06-29;BTC;0.10010799;BitcoinTrade;Binance;11:06:54;14:13:36
2020-07-09;ETH;2.0031446;BitcoinTrade;Binance;00:53:54;03:59:08
2020-07-09;BTC;0.06640882;BitcoinTrade;Binance;00:56:42;04:07:14
2020-07-09;BTC;0.0528261;BitcoinTrade;Binance;09:44:49;14:33:12
2020-07-09;ETH;1.99887281;BitcoinTrade;Binance;09:48:50;12:54:36
2020-08-18;BTC;0.17864478;BitcoinTrade;Binance;12:32:52;15:37:42
2023-01-18;BTC;0.0509085;BitcoinTrade;Binance;09:37:09;12:45:04
2023-03-10;BTC;0.0981588;BitcoinTrade;Binance;12:43:51;16:05:04
2023-05-05;BTC;0.10165895;BitcoinTrade;Binance;05:51:11;09:02:32
2023-06-23;BTC;0.1317756;BitcoinTrade;Binance;08:52:19;11:58:08
2023-06-27;BTC;0.03710569;BitcoinTrade;Binance;07:39:10;11:04:08
2023-06-28;ETH;1.24233872;BitcoinTrade;Binance;09:01:43;12:08:32
2023-06-29;BTC;0.01975439;BitcoinTrade;Binance;13:55:46;16:58:08
2023-07-03;BTC;0.02881624;BitcoinTrade;Binance;16:47:45;19:56:08
2023-07-11;BTC;0.0384201;BitcoinTrade;Binance;06:40:11;10:04:08
2023-11-08;ETH;1.11305073;BitcoinTrade;Binance;16:24:39;19:28:12
2023-11-10;ETH;1.04696718;BitcoinTrade;Binance;06:45:11;09:49:58
2023-11-30;BTC;0.03594219;BitcoinTrade;Binance;18:46:44;22:11:06
